corruption,loss,accuracy,balanced_accuracy,macro_f1,weighted_f1,accuracy_drop_percent,macro_f1_drop_percent,inference_time_seconds
clean,0.006134089435027845,99.86498097459187,99.78891430694853,99.7282033668309,99.86530629784521,0.0,0.0,45.772985219955444
gaussian_noise,1.2164217849823686,74.84963790352278,77.82795056630528,79.6815523822007,77.01718858732953,25.015343071069108,20.046650984630187,185.4709451198578
gaussian_blur,0.6438806544670638,85.87210015956795,85.72808040041024,85.95579982316002,85.40865654119465,13.992880815023934,13.772403543670874,90.73624277114868
brightness,0.013591378513925721,99.55811955320976,99.42143015041441,99.35264714581193,99.55825190155477,0.3068614213821097,0.3755562210189578,64.81717920303345
contrast,0.012606376531713858,99.65631520805205,99.5360639105541,99.46531093186263,99.65719351916637,0.20866576653982838,0.26289243496825376,68.73381495475769
jpeg_compression,0.0539221198510834,98.2938504971155,98.00668958291651,97.97473169822001,98.29453560001566,1.571130477476379,1.7534716686108842,63.64529490470886
rotation,0.01645139735100037,99.5458450963545,99.35019446367394,99.2376394795673,99.54584344488883,0.31913587823738654,0.49056388726358424,85.29190063476562
occlusion,0.008622184682884544,99.72996194918376,99.64810423970701,99.60063673012449,99.73034935705662,0.13501902540812294,0.1275666367063999,63.27451753616333
