epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,learning_rate,epoch_time_seconds
1,0.3732984223927647,0.9018204777438703,0.8816409912186529,0.03237380356459953,0.9895654308863245,0.9875724512828717,0.9864572869403938,0.0001,814.1169939041138
2,0.06346343954598568,0.9799800063137957,0.9740067522233326,0.023198496217853366,0.9923889025288485,0.9878518675021986,0.9887255087042908,0.0001,771.8599696159363
3,0.04526181904296045,0.9857939598021678,0.9813753227266077,0.01897257954246812,0.9942302970783207,0.9922047622801867,0.990915563108022,0.0001,772.020672082901
4,0.03390568628786464,0.9891350099968431,0.9860345814691499,0.014896053150538588,0.9957034127178983,0.9935747455948678,0.9929246524892642,0.0001,778.031004190445
5,0.03096860590125812,0.9903714616436915,0.9874873556926336,0.015866782341503762,0.9954578934446354,0.9949659663269154,0.9940723041929939,0.0001,763.4418065547943
6,0.02321323292651553,0.9929759023466274,0.9903953656456114,0.020805328155145998,0.9933709796219004,0.9892694098110199,0.9902583727913095,0.0001,758.4385290145874
7,0.021708114036223355,0.9935546669472798,0.9912331541435985,0.012650953005273224,0.9961944512644243,0.9945093797858607,0.9944838042678465,0.0001,765.7641303539276
8,0.01940958163151985,0.9941334315479322,0.9922270504251214,0.00750140808094254,0.9977903265406335,0.9966606861747714,0.9967097872879229,0.0001,743.3215239048004
9,0.017346654370092744,0.9943965063664106,0.9921429957081072,0.01789613230179185,0.9945985759882151,0.992232844795664,0.9904018811757854,0.0001,742.9926724433899
10,0.01707463634910818,0.9947385036304325,0.9924040237353896,0.016004214393868565,0.9957034127178983,0.994225331324783,0.9924158073424274,0.0001,768.2787094116211
11,0.017992893975141044,0.9944491213301063,0.9927218114783002,0.0078016068670367505,0.9980358458138964,0.9979262507526016,0.9967265985157122,5e-05,772.1038899421692
12,0.0056992249527465354,0.9984741660528255,0.9979852531982675,0.005127658795408965,0.9985268843604223,0.997807826431034,0.9978032514373016,5e-05,767.570317029953
13,0.006049739135963184,0.9978427864884774,0.9968882315130829,0.007462738568853747,0.9976675669040019,0.9971559181925012,0.9963813739036865,5e-05,765.7143409252167
14,0.005538325193464673,0.99805324634326,0.9976833809245003,0.006945725758127195,0.9981586054505278,0.997426901188613,0.9973606664667941,5e-05,768.8243381977081
15,0.005157273307820565,0.9983426286435862,0.9979342187550858,0.010329660504745321,0.9970537687208446,0.9965235752558764,0.9959611555685409,2.5e-05,765.182229757309
