corruption,baseline_loss,baseline_accuracy,baseline_balanced_accuracy,baseline_macro_f1,baseline_weighted_f1,baseline_inference_time_seconds,robust_loss,robust_accuracy,robust_balanced_accuracy,robust_macro_f1,robust_weighted_f1,robust_inference_time_seconds,accuracy_improvement_robust_minus_baseline,balanced_accuracy_improvement_robust_minus_baseline,macro_f1_improvement_robust_minus_baseline,weighted_f1_improvement_robust_minus_baseline,baseline_accuracy_drop,baseline_macro_f1_drop,robust_accuracy_drop,robust_macro_f1_drop
Clean,0.006134089435027845,99.86498097459187,99.78891430694853,99.7282033668309,99.86530629784521,41.28629469871521,0.007132967659421148,99.72996194918376,99.55411621512091,99.55715541025653,99.7293090588265,52.830219745635986,-0.13501902540811273,-0.23479809182761358,-0.17104795657436966,-0.13599723901870675,0.0,0.0,0.0,0.0
Gaussian Noise,3.5832276746394722,38.983674972382474,38.911881990259694,37.411793941471636,38.76915381740126,185.72311282157898,0.4260742391444897,87.94648336811096,85.74389688129041,85.9364274224257,88.01200014585515,188.74781584739685,48.96280839572849,46.83201489103072,48.52463348095406,49.24284632845389,60.8813060022094,62.31640942535926,11.7834785810728,13.620727987830833
Gaussian Blur,0.3782577296334629,91.16239106419542,91.55527823097452,91.26013691565352,91.0863261910952,81.93995571136475,0.011528931103587997,99.58266846692034,99.33616916498082,99.35819301835967,99.58021468315027,75.45745944976807,8.42027740272492,7.780890934006294,8.098056102706153,8.493888492055078,8.702589910396455,8.468066451177378,0.14729348226342154,0.19896239189685616
Brightness Reduction,0.00907921359424558,99.7667853197496,99.64429045360068,99.59302398853099,99.76700065349371,52.346023082733154,0.013015958945905293,99.52129618264391,99.26622572671118,99.33093619876334,99.51868837591927,51.81902551651001,-0.2454891371056931,-0.378064726889491,-0.2620877897676479,-0.24831227757444196,0.09819565484227155,0.13517937829990956,0.20866576653985192,0.2262192114931878
Contrast Reduction,0.008995977928260483,99.75451086289432,99.64143959230091,99.60322808211156,99.75484906636409,56.897366523742676,0.009348161632913556,99.70541303547319,99.50717555329487,99.57607675505565,99.70446045070881,57.25409412384033,-0.049097827421135776,-0.134264039006041,-0.027151327055904062,-0.05038861565527952,0.11047011169755194,0.1249752847193406,0.024548913710574993,-0.018921344799124995
JPEG Compression,0.013728800823150573,99.60721738063091,99.44632302198627,99.42723872822995,99.60718187644679,54.99134111404419,0.009195882995836463,99.68086412176261,99.45684875300842,99.49814728036681,99.67975221964633,54.726356506347656,0.07364674113169656,0.010525731022141827,0.07090855213685643,0.07257034319954414,0.25776359396095927,0.300964638600945,0.04909782742114999,0.05900812988971893
Rotation,0.01645139735100037,99.5458450963545,99.35019446367394,99.2376394795673,99.54584344488883,72.23149013519287,0.00945260164207203,99.74223640603903,99.57022039018148,99.57205252050197,99.74159330956223,72.15797710418701,0.1963913096845289,0.22002592650753172,0.3344130409346633,0.19574986467340239,0.31913587823737544,0.49056388726359046,-0.01227445685526618,-0.01489711024544249
Random Occlusion,0.009379432598499673,99.7667853197496,99.66209780984589,99.61555072084352,99.76730274346556,38.687408685684204,0.009404846228041046,99.71768749232847,99.57603234896769,99.60447269705043,99.7171328874612,39.27779579162598,-0.049097827421135776,-0.08606546087820277,-0.011078023793089642,-0.0501698560043593,0.09819565484227155,0.11265264598738156,0.012274456855294602,-0.04731728679389846
