corruption,accuracy,balanced_accuracy,macro_f1,weighted_f1,inference_seconds,accuracy_drop,balanced_accuracy_drop,macro_f1_drop,accuracy_drop_percent,macro_f1_drop_percent
Gaussian Noise,0.026635571375966612,0.02810846077466705,0.004736573648731546,0.010940598138030291,118.00950121879578,-0.0029458696452681968,-0.0008886128912130656,-0.0020510838328650417,-0.29458696452681965,-0.20510838328650416
Brightness Reduction,0.024180680004909784,0.027347285120614684,0.0029227757722864217,0.00499936862084648,77.71309614181519,-0.0004909782742113684,-0.0001274372371606984,-0.0002372859564199175,-0.049097827421136844,-0.02372859564199175
Contrast Reduction,0.023935190867804098,0.027283566502034333,0.0027997489250126116,0.004524409024806221,81.52681088447571,-0.0002454891371056825,-6.371861858034747e-05,-0.00011425910914610732,-0.02454891371056825,-0.011425910914610732
Random Occlusion,0.023812446299251257,0.02725170719274416,0.002740748479234535,0.004291656096838123,73.45387363433838,-0.00012274456855284124,-3.185930929017547e-05,-5.525866336803095e-05,-0.012274456855284124,-0.005525866336803095
Clean,0.023689701730698415,0.027219847883453985,0.0026854898158665042,0.004064570656592913,63.34160351753235,0.0,0.0,0.0,0.0,0.0
Gaussian Blur,0.023935190867804098,0.02720936359050925,0.0026304668452163628,0.0045032315714468715,92.54849290847778,-0.0002454891371056825,1.0484292944736018e-05,5.502297065014148e-05,-0.02454891371056825,0.005502297065014148
Rotation,0.023444212593592733,0.027081013820205745,0.002398303157752781,0.0035657017014153,98.1829137802124,0.0002454891371056825,0.00013883406324824085,0.0002871866581137233,0.02454891371056825,0.028718665811372328
JPEG Compression,0.02307597888793421,0.027045269229294816,0.0022617952310184826,0.002745526913977754,78.34592843055725,0.0006137228427642062,0.00017457865415916943,0.00042369458484802164,0.06137228427642062,0.04236945848480216
